kennzahl,name,langtext,strasse,hausnr,plz,ort,gemeindenummer,telefon,email,weburl,art,bezirk
401111,Betriebskrabbelstube WiKi Familienbund,,Wiener Straße,150,4020,Linz,40101,05-7000-6620,kinderbetreuung.wiki@ooe.familienbund.at,https://www.ooe.familienbund.at,Krabbelstube,401
401112,Krabbelstube Rohrmayrstraße,,Rohrmayrstraße,1,4030,Linz,40101,0732/380683,krabbelstube.rohrmayrstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401113,Krabbelstube Scharmühlwinkel,,Scharmühlwinkel,11,4030,Linz,40101,0732/303803,krabbelstube.scharmuehlwinkel@mag.linz.at,https://www.linz.at,Krabbelstube,401
401114,Krabbelstube Sennweg,,Sennweg,41,4030,Linz,40101,0732/315206,kindergarten.sennweg@mag.linz.at,https://www.linz.at,Krabbelstube,401
401115,Krabbelstube Auf der Wies,,Auf der Wies,9,4040,Linz,40101,0732/772441,krabbelstube.aufderwies@mag.linz.at,https://www.linz.at,Krabbelstube,401
401116,Betriebskinderkrippe des Landes Oberösterreich,,Untere Donaulände,66,4020,Linz,40101,0732/771218,landeskindergarten-linz@aon.at,https://www.land-oberoesterreich.gv.at,Krabbelstube,401
401118,vivo Kinderwelt GmbH - Betriebskrabbelstube,,Schnopfhagenstraße,10,4030,Linz,40101,0732/6585-2119,kinderwelt@vivo-service.at,https://www.vivo-kinderwelt.at,Krabbelstube,401
401119,Betriebskrabbelstube BHB/BHS,,Steingasse,4,4020,Linz,40101,0732/7677500-34,kiga.steingasse@gmx.at,https://www.barmherzige-brueder.at/site/linz/betriebskindergarten,Krabbelstube,401
401120,Krabbelstube Solarcity Neufelderstr.,,Neufelderstraße,125,4030,Linz,40101,0732/321755,kindergarten.neufelderstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401121,Krabbelstube Wieningerstraße,,Wieningerstraße,16,4020,Linz,40101,0732/371635,kindergarten.wieningerstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401122,Krabbelstube Don-Bosco-Weg,,Don-Bosco-Weg,'4-6,4020,Linz,40101,0732/600320,krabbelstube.donboscoweg@mag.linz.at,https://www.linz.at,Krabbelstube,401
401123,Krabbelstube Schnitzlerweg,,Schnitzlerweg,4,4030,Linz,40101,0732/321755,kindergarten.schnitzlerweg@mag.linz.at,https://www.linz.at,Krabbelstube,401
401125,Krabbelstube Kressweg,,Kressweg,13,4020,Linz,40101,0732/330712,krabbelstube.kressweg@mag.linz.at,https://www.linz.at,Krabbelstube,401
401126,Krabbelstube Commendastraße,,Commendastraße,3,4040,Linz,40101,0732/250966,kindergarten.commendastrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401127,Krabbelstube am Hartmayrgut,,Am Hartmayrgut,12,4040,Linz,40101,0732/731080,kindergarten.hartmayrgut@mag.linz.at,https://www.linz.at,Krabbelstube,401
401128,Krabbelstube Dauphinestraße - Laskahof,,Dauphinestraße,216,4030,Linz,40101,0732/382430,kindergarten.dauphinestrasse216@mag.linz.at,https://www.linz.at,Krabbelstube,401
401129,Krabbelstube Poschacherstraße,,Poschacherstraße,26,4020,Linz,40101,0732/600524,kindergarten.poschachervilla@mag.linz.at,https://www.linz.at,Krabbelstube,401
401130,Betriebskrabbelstube RLB - Sumsi's Learning Garden,,Europaplatz,6,4020,Linz,40101,,kita.rlb@gmx.at,https://www.raiffeisen.at,Krabbelstube,401
401131,Krabbelstube mit Integrationsgruppe NIDO Diakonie Zentrum Spattstraße,,Willingerstraße,14,4020,Linz,40101,0732/349271,hp.kiga@spattstrasse.at,https://www.spattstrasse.at/unser-angebot/kinderbetreuungsangebote-0-6-jahre,Krabbelstube,401
401132,Krabbelstube Dauphinestraße - Löwenfeldvilla,,Dauphinestraße,56a,4030,Linz,40101,0732/300996,krabbelstube.dauphinestrasse56a@mag.linz.at,https://www.linz.at,Krabbelstube,401
401133,"Betriebskrabbelstube Oberbank AG, KINKI´s Nest",,Untere Donaulände,28,4020,Linz,40101,,krabbelstube.oberbank@ooe.familienbund.at,,Krabbelstube,401
401134,Krabbelstube Hertzstraße,,Hertzstraße,18,4020,Linz,40101,0732/349448,kindergarten.hertzstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401135,Krabbelstube Wallenbergstraße,,Wallenbergstraße,21,4020,Linz,40101,,krabbelstube.wallenbergstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401136,Krabbelstube Maidwieserstraße,,Maidwieserstraße,2,4030,Linz,40101,0732/672133,krabbelstube.maidwieserstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401137,Krabbelstube Humboldtstraße,,Humboldtstraße,3a,4020,Linz,40101,0732/774758,krabbelstube.humboldtstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401138,Krabbelstube Solarcity - Weikerlseestraße,,Weikerlseestraße,37-39,4030,Linz,40101,0732/320782,kindergarten.weikerlseestrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401139,Krabbelstube Verein Kunterbunt,,Pulvermühlstraße,6,4040,Linz,40101,0732/757872,office@kindergruppekunterbunt.at,https://www.kindergruppekunterbunt.at/wp,Krabbelstube,401
401140,Internationale Kinderbetreuung Mosaik (Krabbelstube),,Raimundstraße,21,4020,Linz,40101,0732/3405-810,mosaik@volkshilfe-ooe.at,https://www.volkshilfe-ooe.at/kinder-jugendliche/kinder/betreuung/kindergarten-mosaik,Krabbelstube,401
401141,Betriebskrabbelstube Kepler Universitätsklinikum GmbH,,Wagner-Jauregg-Weg,15,4020,Linz,40101,05768087-22627,krabbelstube.NMC@kepleruniklinikum.at,https://www.kepleruniklinikum.at,Krabbelstube,401
401143,Krabbelstube Garnisonstraße 38,,Garnisonstraße,38,4020,Linz,40101,,Kindergarten.Garnisonstrasse38@mag.linz.at,https://www.linz.at,Krabbelstube,401
401144,Betriebskrabbelstube der OÖ Hilfswerk GmbH - OÖ Versicherung,,Honauerstraße,35,4020,Linz,40101,,krabbelstube.ooev@ooe.hilfswerk.at,https://www.hilfswerk.at/oberoesterreich/kinder-jugend-und-familie,Krabbelstube,401
401145,Betriebskrabbelstube der OÖ Hilfswerk GmbH - JKU Linz,,Aubrunnerweg,5-7,4040,Linz,40101,,krabbelstube.jku@ooe.hilfswerk.at,https://www.hilfswerk.at/oberoesterreich/kinder-jugend-und-familie,Krabbelstube,401
401146,Krabbelstube Edeltraud-Hofer-Straße,,Edeltraud-Hofer-Straße,16,4020,Linz,40101,0732/770183,kindergarten.edeltraudhoferstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401147,Krabbelstube Schiffmannstraße,,Schiffmannstraße,4a,4020,Linz,40101,0732/385787,kindergarten.schiffmannstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401148,Krabbelstube Schiedermayrweg,,Schiedermayrweg,11,4020,Linz,40101,0732/603218,krabbelstube.schiedermayrweg@mag.linz.at,https://www.linz.at,Krabbelstube,401
401149,Krabbelstube Hofmeindlweg,,Hofmeindlweg,5,4020,Linz,40101,0732/668770,kindergarten.hofmeindlweg@mag.linz.at,https://www.linz.at,Krabbelstube,401
401151,Krabbelstube Glimpfingerstraße,,Glimpfingerstraße,8,4020,Linz,40101,0732/331189,kindergarten.glimpfingerstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401152,Krabbelstube Sintstraße,,Sintstraße,39,4020,Linz,40101,0732/776926,kindergarten.sintstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401153,Betriebskrabbelstube Elisabethinen Linz,,Elisabethstraße,10-14,4020,Linz,40101,,eli.kinderbetreuung@ooe.familienbund.at,,Krabbelstube,401
401154,Krabbelstube Schubertstraße,,Schubertstraße,5,4020,Linz,40101,0732/77475812,krabbelstube.schubertstrasse@mag.linz.at,https://www.linz.at,Krabbelstube,401
401155,KHSB Krabbelstube - Integrationsgruppen,Kompetenzzentrum für Hör- und Sehbildung,Kapuzinerstraße,40,4020,Linz,40101,,kiga.hsb@caritas-ooe.at,https://www.caritas-ooe.at,Krabbelstube,401
401156,Krabbelstube Hauderweg,,Hauderweg,8,4030,Linz,40101,0732/310626,kindergarten.hauderweg@mag.linz.at,https://www.linz.at,Krabbelstube,401
401157,Krabbelstube Traundorfer Straße,,Traundorfer Straße,286,4030,Linz,40101,0732/321182,kindergarten.traundorferstrasse@mag.linz.at,,Krabbelstube,401
401158,Krabbelstube Heliosallee,,Heliosallee,181,4030,Linz,40101,0732/321166,kindergarten.heliosallee@mag.linz.at,,Krabbelstube,401
401159,Kleinkindgruppe Waldorfkindergarten Nord,,Hölderlinstraße,23,4040,Linz,40101,0732/738138,kkg.nord@fwsl.at,https://www.fwsl.at,Krabbelstube,401
401160,Betriebskrabbelstube der Energie AG - Loomiland,,Energiestraße,1,4020,Linz,40101,,krabbelstube.energieag@ooe.familienbund.at,https://www.ooe.familienbund.at,Krabbelstube,401
401201,Städt. Kindergarten Linz - Allendeplatz,,Allendeplatz,4,4030,Linz,40101,0732/311744,kindergarten.allendeplatz@mag.linz.at,https://www.linz.at,Kindergarten,401
401202,Städt. Kindergarten Linz - Anastasius Grünstraße,,Anastasius Grünstraße,4a,4020,Linz,40101,0732/651572-10,kindergarten.agruenstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401203,Städt. Kindergarten Linz - Auwiesen 130,,Auwiesenstraße,130,4030,Linz,40101,0732/315293,kindergarten.auwiesenstrasse130@mag.linz.at,https://www.linz.at,Kindergarten,401
401204,Städt. Kindergarten Linz - Auwiesen 22,,Auwiesenstraße,22-24,4030,Linz,40101,0732/317760,kindergarten.auwiesenstrasse22@mag.linz.at,https://www.linz.at,Kindergarten,401
401205,Städt. Kindergarten Linz - Auwiesen 60,,Auwiesenstraße,60,4030,Linz,40101,0732/312751,kindergarten.auwiesenstrasse60@mag.linz.at,https://www.linz.at,Kindergarten,401
401206,Städt. Kindergarten Linz - Breitwiesergut,,Breitwiesergutstraße,7,4020,Linz,40101,0732/665151,kindergarten.breitwiesergutstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401207,Städt. Kindergarten Linz - Bürgerstraße,,Bürgerstraße,44,4020,Linz,40101,0732/606358,kindergarten.buergerstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401208,Städt. Kindergarten Linz - Commendastraße,,Commendastraße,3,4040,Linz,40101,0732/250966,kindergarten.commendastrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401209,Städt. Kindergarten Linz - Cremeristraße,,Cremeristraße,10,4020,Linz,40101,0732/654336,kindergarten.cremeristrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401210,Städt. Kindergarten Linz - Darrgutstraße,,Darrgutstraße,16,4020,Linz,40101,0732/661692,kindergarten.darrgutstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401211,Städt. Kindergarten Linz - Dornacher Straße,,Dornacher Straße,7,4040,Linz,40101,0732/243506,kindergarten.dornacherstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401212,Städt. Kindergarten Linz - Schiffmannstraße,,Schiffmannstraße,4a,4020,Linz,40101,0732/385787,kindergarten.schiffmannstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401213,Städt. Kindergarten Linz - Freistädter Str.,,Freistädter Straße,135b,4040,Linz,40101,0732/717587,kindergarten.freistaedterstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401214,Städt. Kindergarten Linz - Hauderweg,,Hauderweg,8,4030,Linz,40101,0732/310626,kindergarten.hauderweg@mag.linz.at,https://www.linz.at,Kindergarten,401
401216,Städt. Kindergarten Linz - Hertzstraße,,Hertzstraße,18,4020,Linz,40101,0732/349448,kindergarten.hertzstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401217,Städt. Kindergarten Linz - Hofmannsthalweg,,Hofmannsthalweg,10a,4030,Linz,40101,0732/309231,kindergarten.hofmannsthalweg@mag.linz.at,https://www.linz.at,Kindergarten,401
401218,Städt. Kindergarten Linz - Hofmeindlweg,,Hofmeindlweg,5,4020,Linz,40101,0732/668770,kindergarten.hofmeindlweg@mag.linz.at,https://www.linz.at,Kindergarten,401
401219,Städt. Kindergarten Linz - Auerpeint,,In der Auerpeint,5,4030,Linz,40101,0732/382623,kindergarten.auerpeint@mag.linz.at,https://www.linz.at,Kindergarten,401
401220,Städt. Kindergarten Linz - J.W. Kleinstr.,,J.W. Kleinstraße,60,4040,Linz,40101,0732/243048,kindergarten.kleinstrasse60@mag.linz.at,https://www.linz.at,Kindergarten,401
401221,Städt. Kindergarten Linz - Helmholtzstraße,,Helmholtzstraße,24,4020,Linz,40101,0732/371361,kindergarten.helmholtzstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401223,Städt. Kindergarten Linz - Leonfeldner Str. 102a,,Leonfeldner Straße,102a,4040,Linz,40101,0732/730236,kindergarten.leonfeldnerstrasse102a@mag.linz.at,https://www.linz.at,Kindergarten,401
401224,Städt. Kindergarten Linz - Leonfeldner Str. 3a,,Leonfeldner Straße,3a,4040,Linz,40101,0732/701342,kindergarten.leonfeldnerstrasse3a@mag.linz.at,https://www.linz.at,Kindergarten,401
401226,Städt. Kindergarten Linz - Leonfeldner Str. 99d,,Leonfeldner Straße,99d,4040,Linz,40101,0732/733260,kindergarten.leonfeldnerstrasse99d@mag.linz.at,https://www.linz.at,Kindergarten,401
401227,Städt. Kindergarten Linz - Ludlgasse,,Ludlgasse,8a,4020,Linz,40101,0732/773032,kindergarten.ludlgasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401228,Städt. Kindergarten Linz - Marienberg,,Marienberg,51,4040,Linz,40101,0732/252061,kindergarten.marienberg@mag.linz.at,https://www.linz.at,Kindergarten,401
401229,Städt. Kindergarten Linz - Minnesängerplatz,,Minnesängerplatz,12,4020,Linz,40101,0732/608663,kindergarten.minnesaengerplatz@mag.linz.at,https://www.linz.at,Kindergarten,401
401230,Städt. Kindergarten Linz - Pestalozzistr. 84,,Pestalozzistraße,84,4030,Linz,40101,0732/307516,kindergarten.pestalozzistrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401231,Städt. Kindergarten Linz - Posthofstr.,,Posthofstraße,50,4020,Linz,40101,0732/776130,kindergarten.posthofstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401232,"Städt. Kindergarten Linz - Brucknerstraße, Breitwieserhof",,Brucknerstraße,38,4020,Linz,40101,0732/602607,kindergarten.brucknerstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401233,Städt. Kindergarten Linz - Reischekstraße,,Reischekstraße,10,4020,Linz,40101,0732/778117,kindergarten.reischekstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401234,Städt. Kindergarten Linz - Am Hartmayrgut,,Am Hartmayrgut,12,4040,Linz,40101,0732/731080,kindergarten.hartmayrgut@mag.linz.at,https://www.linz.at,Kindergarten,401
401235,Städt. Kindergarten Linz - Rohrmayrstr.,,Rohrmayrstraße,1,4030,Linz,40101,0732/380684,kindergarten.rohrmayrstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401236,Städt. Kindergarten Linz - Römerstr.,,Römerstraße,92,4020,Linz,40101,0732/790600,kindergarten.roemerstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401237,Städt. Kindergarten Linz - Scharmühlwinkel,,Scharmühlwinkel,11,4030,Linz,40101,0732/305186,kindergarten.scharmuehlwinkel@mag.linz.at,https://www.linz.at,Kindergarten,401
401238,Städt. Kindergarten Linz - Schiedermayrweg,,Schiedermayrweg,2,4020,Linz,40101,0732/663622,kindergarten.schiedermayrweg@mag.linz.at,https://www.linz.at,Kindergarten,401
401239,Städt. Kindergarten Linz - Schnitzlerweg,,Schnitzlerweg,4,4030,Linz,40101,0732/317872,kindergarten.schnitzlerweg@mag.linz.at,https://www.linz.at,Kindergarten,401
401240,Städt. Kindergarten Linz - Sennweg,,Sennweg,41,4030,Linz,40101,0732/315206,kindergarten.sennweg@mag.linz.at,https://www.linz.at,Kindergarten,401
401242,Städt. Kindergarten Linz - Webergasse,,Webergasse,5,4040,Linz,40101,0732/700051,kindergarten.webergasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401243,Städt. Kindergarten Linz - Wieningerstr. 16,,Wieningerstraße,16,4020,Linz,40101,0732/371635,kindergarten.wieningerstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401244,Städt. Kindergarten Linz - Ziererfeldstr.,,Ziererfeldstraße,50,4030,Linz,40101,0732/320212,kindergarten.ziererfeldstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401245,Kindergarten der Kinderfreunde Linz - Edisonstraße,,Edisonstraße,30,4020,Linz,40101,,kiga.edisonstrasse@kinderfreunde-linz.at,https://www.kinderfreunde.cc/bundeslaender/oberoesterreich/angebote/kinderbetreuung,Kindergarten,401
401246,Kindergarten der Kinderfreunde Linz - Einfaltstraße,,Einfaltstraße,8,4020,Linz,40101,,kiga.einfaltstrasse@kinderfreunde-linz.at,https://www.kinderfreunde.cc/bundeslaender/oberoesterreich/angebote/kinderbetreuung,Kindergarten,401
401247,Waldorfkindergarten Linz - Süd,,Gutenbergstraße,3,4030,Linz,40101,0732/309797,kiga.sued@fwkl.at,https://www.fwsl.at/waldorfkindergarten-sued,Kindergarten,401
401248,Waldorfkindergarten Linz - Nord,,Hölderlinstraße,23,4040,Linz,40101,0732/738138,kiga.nord@fwkl.at,https://www.fwsl.at/waldorfkindergarten-nord,Kindergarten,401
401249,Kindergarten der Kinderfreunde Linz - Ing.-Stern-Straße,,Ing.-Stern-Straße,35,4020,Linz,40101,,kiga.franckviertel@kinderfreunde-linz.at,https://www.kinderfreunde.cc/bundeslaender/oberoesterreich/angebote/kinderbetreuung,Kindergarten,401
401250,Betriebskindergarten des Landes Oberösterreich,,Untere Donaulände,66,4020,Linz,40101,0732/771218,landeskindergarten-linz@aon.at,https://www.land-oberoesterreich.gv.at,Kindergarten,401
401251,Betriebskindergarten Kepler Universitätsklinikum GmbH,Neuromed Campus,Wagner-Jauregg-Weg,15,4020,Linz,40101,05768087-32620,kindergarten.NMC@kepleruniklinikum.at,https://www.kepleruniklinikum.at,Kindergarten,401
401252,Kindergarten Zaunmüllerstraße,,Zaunmüllerstraße,4,4020,Linz,40101,0732/772632-61,kiga.zaunmuellerstrasse@kinderfreunde-linz.at,https://www.kinderfreunde-linz.at,Kindergarten,401
401253,"Pfarrcaritaskindergarten Linz - Guter Hirte""""",,Am Steinbühel,29,4030,Linz,40101,0732/381289,KG401253@pfarrcaritas-kita.at,linz-guter-hirte.dioezese-linz.at/?page_id=375,Kindergarten,401
401254,"Pfarrcaritaskindergarten Linz - St. Berthold""""",,Aubrunnerweg,11,4040,Linz,40101,0732/251061,KG401254@pfarrcaritas-kita.at,https://www.dioezese-linz.at/kiga-stberthold,Kindergarten,401
401255,"Pfarrcaritaskindergarten Linz - Schwalbennest""""",,Blütenstraße,15,4040,Linz,40101,0732/733368,KG401255@pfarrcaritas-kita.at,https://www.dioezese-linz.at/pfarrkindergarten-schwalbennest,Kindergarten,401
401257,"Pfarrcaritaskindergarten Linz - St. Quirinus""""",,Straßlandweg,22,4030,Linz,40101,0732/201879,KG401257@pfarrcaritas-kita.at,https://www.dioezese-linz.at/institution/64192,Kindergarten,401
401258,"Pfarrcaritaskindergarten St. Paul"" - Pichling""",,Falterweg,35,4030,Linz,40101,0732/320724,KG401258@pfarrcaritas-kita.at,https://www.dioezese-linz.at/institution/64204,Kindergarten,401
401259,"Pfarrcaritaskindergarten Linz - St. Konrad""""",,Händelstraße,30,4020,Linz,40101,0732/656291,KG401259@pfarrcaritas-kita.at,https://www.dioezese-linz.at/institution/64197,Kindergarten,401
401260,Pfarrcaritaskindergarten Linz Hölderlinstraße,,Hölderlinstraße,24,4040,Linz,40101,0732/715735,KG401260@pfarrcaritas-kita.at,https://www.xn--kiga-hlderlinstrasse-89b.at,Kindergarten,401
401261,"Pfarrcaritaskindergarten Linz - St. Leopold""""",,Landgutstraße,31a,4040,Linz,40101,0732/736193,KG401261@pfarrcaritas-kita.at,https://www.dioezese-linz.at/institution/64198,Kindergarten,401
401262,"Pfarrcaritaskindergarten Linz - St. Theresia""""",,Losensteinerstraße,1,4020,Linz,40101,0732/670111,KG401262@pfarrcaritas-kita.at,https://www.dioezese-linz.at/pfarre/4207/gemeinschaft/pfarrcaritaskindergarten,Kindergarten,401
401263,"Pfarrcaritaskindergarten Linz - St. Franziskus""""",,Neubauzeile,68,4030,Linz,40101,0732/380050-16,KG401263@pfarrcaritas-kita.at,https://www.dioezese-linz.at/pfarre/4195/pfarre/kindergarten,Kindergarten,401
401264,Pfarrcaritaskindergarten Linz Christkönig Peuerbachstraße,,Peuerbachstraße,14,4040,Linz,40101,0732/710494,KG401264@pfarrcaritas-kita.at,https://www.dioezese-linz.at/institution/64183/kindergarten,Kindergarten,401
401265,KHSB Kindergarten - Integrationsgruppen,Kompetenzzentrum für Hör- und Sehbildung,Kapuzinerstraße,40,4020,Linz,40101,,kiga.hsb@caritas-ooe.at,https://www.caritas-ooe.at,Kindergarten,401
401266,Caritaskindergarten Pillweinstraße,,Pillweinstraße,11,4020,Linz,40101,0732/655976,kindergarten.linz.pillweinstrasse@caritas-ooe.at,https://www.caritas-ooe.at,Kindergarten,401
401267,"Pfarrcaritaskindergarten Linz - St. Antonius""""",,Salzburger Straße,22,4020,Linz,40101,0732/346379,KG401267@pfarrcaritas-kita.at,,Kindergarten,401
401268,"Pfarrcaritaskindergarten Linz - Zur Hl. Familie""""",,Schubertstraße,5,4020,Linz,40101,,KG401268@pfarrcaritas-kita.at,https://www.dioezese-linz.at/linz-heiligefamilie,Kindergarten,401
401269,"Pfarrcaritaskindergarten Linz Hl. Geist""""",,Schumpeterstraße,1,4040,Linz,40101,0732/245564-20,KG401269@pfarrcaritas-kita.at,https://www.dioezese-linz.at/kiga-hlgeist,Kindergarten,401
401270,"Pfarrcaritaskindergarten Linz - St. Margarethen""""",,St. Margarethen,47a,4020,Linz,40101,,KG401270@pfarrcaritas-kita.at,https://www.zaubertal.net,Kindergarten,401
401271,Pfarrcaritaskindergarten Linz - Ebelsberg,,Stefan Fadinger-Platz,7,4030,Linz,40101,0732/307742,KG401271@pfarrcaritas-kita.at,https://www.dioezese-linz.at/institution/64186/gemeinsam,Kindergarten,401
401272,Betriebskindergarten BHB/BHS,,Steingasse,4,4020,Linz,40101,0732/7677-6824,kiga.steingasse@gmx.at,https://www.bhslinz.at,Kindergarten,401
401273,"Pfarrcaritaskindergarten Linz - St. Peter"" - Villa Sonnenschein""",,Wallenbergstraße,21,4020,Linz,40101,0732/330210,KG401273@pfarrcaritas-kita.at,https://www.linz-stpeter.at,Kindergarten,401
401274,"Pfarrcaritaskindergarten Linz - St. Michael""""",,Uhlandgasse,3,4020,Linz,40101,0732/343163,KG401274@pfarrcaritas-kita.at,https://www.dioezese-linz.at/pfarre/4203/leben/kindergarten/team,Kindergarten,401
401275,"Pfarrcaritaskindergarten Linz Hlgst. Dreifaltigkeit""""",,Wieningerstraße,14,4020,Linz,40101,0732/374070,KG401275@pfarrcaritas-kita.at,kindergarten-linz-dreifaltigkeit.dioezese-linz.at,Kindergarten,401
401277,Englische Spielschule Linz - Playschool,,Spittelwiese,15,4020,Linz,40101,0732/775855,office@playschool.at,https://www.playschool.at,Kindergarten,401
401278,Städt. Kindergarten Linz - Solarcity Neufelderstr.,,Neufelderstraße,125,4030,Linz,40101,0732/321755,kindergarten.neufelderstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401279,vivo Kinderwelt GmbH - Betriebskindergarten,,Schnopfhagenstraße,10,4030,Linz,40101,0732/6585-2119,kinderwelt@vivo-service.at,https://www.vivo-kinderwelt.at,Kindergarten,401
401281,Städt. Kindergarten Linz - Solarcity Weikerlseestraße,,Weikerlseestraße,37-39,4030,Linz,40101,0732/320782,kindergarten.weikerlseestrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401282,Städt. Kindergarten Linz - Kraußstraße,,Kraußstraße,8,4020,Linz,40101,0732/601667,kindergarten.kraussstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401283,Städt. Kindergarten Linz - Werndlstraße,,Werndlstraße,30,4020,Linz,40101,0732/330656-21,kindergarten.werndlstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401284,Betriebskindergarten RLB - Sumsi's Learning Garden,,Europaplatz,6,4020,Linz,40101,,kita.rlb@gmx.at,https://www.raiffeisen.at,Kindergarten,401
401285,Städt. Kindergarten Linz - Holzstraße,,Holzstraße,20,4020,Linz,40101,0732/790111,kindergarten.holzstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401286,Städt. Kindergarten Linz - Edeltraud-Hofer-Straße,,Edeltraud-Hofer-Straße,16,4020,Linz,40101,0732/770183,kindergarten.edeltraudhoferstrasse@mag.linz.at,https://www.linz.at,Kindergarten,401
401287,Internationale Kinderbetreuung Mosaik (Kindergarten),,Raimundstraße,21,4020,Linz,40101,0732/3405-810,mosaik@volkshilfe-ooe.at,https://www.volkshilfe-ooe.at/kinder-jugendliche/kinder/betreuung/kindergarten-mosaik,Kindergarten,401
401289,Städt. Kindergarten Linz - Dauphinestraße (Laskahof),,Dauphinestraße,216,4030,Linz,40101,0732/382430,kindergarten.dauphinestrasse216@mag.linz.at,https://www.linz.at,Kindergarten,401
401290,Städt. Kindergarten Linz - Poschacherstraße,,Poschacherstraße,26,4020,Linz,40101,0732/600524,kindergarten.poschachervilla@mag.linz.at,https://www.linz.at,Kindergarten,401
