art,name,weburl,contact_name,strasse,plz,ort,telefon,email,traeger,anmeldung_url,anmeldung_krabbelstube_url,anmeldung_kindergarten_url
krabbelstube,Kindergarten & Krabbelstube Pregarten Althauserstraße,https://ooe.familienbund.at/betreuung/kindergaerten-krabbelstuben-pregarten-althauserstrasse/,,,,,Tel: 0732 / 60 30 60,kindergarten.pregarten-althauser@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Kindergarten & Krabbelstube Pregarten Grünbichl,https://ooe.familienbund.at/betreuung/kindergaerten-pregarten-gruenbichl/,,,,,Tel: 0732 / 60 30 60,kindergarten.pregarten-gruenbichl@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Puchenau,https://ooe.familienbund.at/betreuung/krabbelstuben-puchenau/,,,,,Tel: 0732 / 60 30 60,krabbelstube.puchenau@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube St. Florian Ort,https://ooe.familienbund.at/betreuung/krabbelstuben-st-florian/,,,,,Tel: 0732 / 60 30 60,krabbelstube.st-florian@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube St. Florian Hausfeld,https://ooe.familienbund.at/betreuung/krabbelstube-st-florian-hausfeld/,,,,,Tel: 0732 / 60 30 60,krabbelstube.st-florian@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube St. Marienkirchen,https://ooe.familienbund.at/betreuung/krabbelstuben-st-marienkirchen/,,,,,Tel: 0732 / 60 30 60,krabbelstube.st-marienkirchen@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Rotax,https://ooe.familienbund.at/betreuung/krabbelstube-rotax/,,,,,Tel: 0732 / 60 30 60,krabbelstube.rotax@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube RoSiPez,https://ooe.familienbund.at/betreuung/betriebliche-krabbelstuben-leonding-rosenbauer-silhouette-pez/,,,,,Tel: 0732 / 60 30 60,krabbelstube.rosipez@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Ordensklinikum Elisabethinen,https://ooe.familienbund.at/betreuung/krabbelstube-ordensklinikum-elisabethinen/,,,,,Tel: 0732 / 60 30 60,eli.kinderbetreuung@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Energie AG,https://ooe.familienbund.at/betreuung/betriebliche-krabbelstuben-linz-energie-ag/,,,,,Tel: 0732 / 60 30 60,krabbelstube.energieag@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Oberbank,https://ooe.familienbund.at/betreuung/betriebliche-krabbelstuben-linz-oberbank/,,,,,Tel: 0732 / 60 30 60,krabbelstube.oberbank@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube WiKi,https://ooe.familienbund.at/betreuung/betriebliche-krabbelstuben-linz-primetals-wifi-wko-siemens/,,,,,Tel: 0732 / 60 30 60,kinderbetreuung.wiki@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube HABAU – BauZwerge,https://ooe.familienbund.at/betreuung/betriebliche-krabbelstuben-perg-habau/,,,,,Tel: 0732 / 60 30 60,krabbelstube.habau@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Engel GmbH,https://ooe.familienbund.at/betreuung/betriebliche-krabbelstuben-schwertberg-engel-gmbh/,,,,,Tel: 0732 / 60 30 60,krabbelstube.engel@ooe.familienbund.at,Familienbund OÖ,,,
krabbelstube,Krabbelstube Felbermayr,https://ooe.familienbund.at/betreuung/betriebliche-krabbelstuben-wels-felbermayr/,,,,,Tel: 0732 / 60 30 60,kibe.felbermayr@ooe.familienbund.at,Familienbund OÖ,,,
hort,Hort Bad Hall,https://ooe.familienbund.at/betreuung/hort-bad-hall/,,,,,Tel: 0732 / 60 30 60,hort.badhall@ooe.familienbund.at,Familienbund OÖ,,,
hort,Hort Pregarten,https://ooe.familienbund.at/betreuung/hort-pregarten/,,,,,Tel: 0732 / 60 30 60,hort.pregarten@ooe.familienbund.at,Familienbund OÖ,,,
flexible,Flexible Kinderbetreuung Haid-Center,https://ooe.familienbund.at/betreuung/flexible-kinderbetreuungen-ansfelden-haid-center-kinderland/,,,,,Tel: 0732 / 60 30 60,kinderland.haidcenter@ooe.familienbund.at,Familienbund OÖ,,,
flexible,Flexible Kleinkindbetreuung Pfarrwichtel,https://ooe.familienbund.at/betreuung/flexible-kinderbetreuungen-ansfelden-pfarrwichtel/,,,,,Tel: 0732 / 60 30 60,fbz.ansfelden@ooe.familienbund.at,Familienbund OÖ,,,
