art,name,strasse,plz,ort,telefon,email,traeger,bezirk
kindergarten,Pfarrcaritas Kindergarten,Pfarrgasse 1,4081,Hartkirchen,07273/8244,KG405212@pfarrcaritas-kita.at,Pfarrcaritas,Eferding
krabbelstube,Pfarrcaritas Krabbelstube,Pfarrgasse 1,4081,Hartkirchen,07273/8244,KS405104@pfarrcaritas-kita.at,Pfarrcaritas,Eferding
kindergarten,Pfarrcaritas Kindergarten,Kapellenweg 1,4731,Prambachkirchen,0676/897493320,KG405213@pfarrcaritas-kita.at,Pfarrcaritas,Eferding
krabbelstube,Pfarrcaritas Krabbelstube,Kapellenweg 1,4731,Prambachkirchen,07277-2062,KS405103@pfarrcaritas-kita.at,Pfarrcaritas,Eferding
kindergarten,Pfarrcaritas Kindergarten,Rieglstraße 7,4283,Bad Zell,07263/6102,KG406213@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
krabbelstube,Pfarrcaritas Krabbelstube,Rieglstraße 7,4283,Bad Zell,07263/61026,KS406113@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
kindergarten,Pfarrcaritas Kindergarten,Bahnhofstraße 3,4240,Freistadt,07942/72486,KG406215@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
kindergarten,Pfarrcaritas Kindergarten,Ginzkeystraße 10,4240,Freistadt,07942/72505,KG406219@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
kindergarten,Pfarrcaritas Kindergarten,St. Oswalderstraße 2,4293,Gutau,07946/6655,KG406220@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
krabbelstube,Pfarrcaritas Krabbelstube,St. Oswaldstraße  2,4293,Gutau,07946/6655,KS406109@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
kindergarten,Pfarrcaritas Kindergarten,Hauptstraße  102,4232,Hagenberg,07236/7602,KG406222@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
krabbelstube,Pfarrcaritas Krabbelstube,Haupstraße 102,4232,Hagenberg,07236/7602,KS406102@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
kindergarten,Pfarrcaritas Kindergarten,Schulstraße  2,4242,Hirschbach,07948/2554,KG406223@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
kindergarten,Pfarrcaritas Kindergarten,Nr. 22,4273,Kaltenberg,0681/20784871,KG406224@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
kindergarten,Pfarrcaritas Kindergarten,Unterer Markt 8,4292,Kefermarkt,07947/6419,KG406225@pfarrcaritas-kita.at,Pfarrcaritas,Freistadt
kindergarten,Pfarrcaritas Kindergarten,Oswalderstraße 8,4291,Lasberg,07947/74200,KG406226@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Oswalderstraße  8,4291,Lasberg,0664/3834812,KS406108@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Nr. 109,4252,Liebenau,0681/20794397,KG406227@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Schulstraße  19 / 3,4282,"Pierbach ""St. Elisabeth""",0664/73141890,KG406301@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Gutauerstraße 26,4230,Pregarten,07236/2487-0,KG406228@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Gutauerstraße 26,4230,Pregarten,07236/2487-0,KS406112@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Kindergarten Vereins f. Franziskanische Bildung,Summerauer Straße 7,4261,Rainbach i. M.,07949/63530,office@vffb.or.at,VFFB,
krabbelstube,Krabbelstube Vereins f. Franziskanische Bildung,Summerauer Straße 7,4261,Rainbach i. M.,07949/63530,office@vffb.or.at,VFFB,
kindergarten,Pfarrcaritas Kindergarten,Schulgasse 1,4294,St. Leonhard,0676/8776-6659,KG406231@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Weberstraße 6,4284,Tragwein,07263/88554,KG406232@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Weberstraße 6,4284,Tragwein,07263/88554,KS406110@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Markt 65,4273,Unterweißenbach,07956/7370,KG406233@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Markt 22,4273,Unterweißenbach,0676/8776-6677,KS406121@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Pfarrplatz 3,4224,Wartberg/Aist,0676/64 39 890,KG406236@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Schulstraße 6,4224,"Wartberg ""Ich bin ich""",0676/5005606,KS406104@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Nr. 60,4272,Weitersfelden,0664/75132737,KG406237@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Lindenstraße 6,4813,Altmünster,0664/8484548,KS407104@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Kindergarten Schulverein der Kreuzschwestern,Gottlieb-Oberhauser-Str. 15,4822,Bad Goisern,06135/41191,kiga@badgoisern.kreuzschwestern.at,Kreuzschwestern,
kindergarten,Pfarrcaritas Kindergarten,Wirerstraße 14,4820,Bad Ischl,06768776-6747,KG407234@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Steinkogelstraße 3,4802,Ebensee Roith,0676/8776-6635,KG407236@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Langbathstraße 44,4802,Ebensee St. Josefshaus,0676/8776-6785,KG407235@pfarrcaritas-kita.at,Pfarrcaritas,
hort,Hort Schulverein der Kreuzschwestern,Pensionatstraße 9,4810,Gmunden,07612/64951/28,hort@gmunden.kreuzschwestern.at,Kreuzschwestern,
kindergarten,Kindergarten Schulverein der Kreuzschwestern,Pensionatstraße 9,4810,Gmunden,07612/64951-26,kiga@gmunden.kreuzschwestern.at,Kreuzschwestern,
kindergarten,Pfarrcaritas Kindergarten,Kirchenplatz  5,4645,Grünau im Almtal,07616/8437,KG407238@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Alt-Gschwandt 2,4816,Gschwandt,07612/67993,KS407114@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Alt Gschwandt 2,4816,Gschwandt,07612/67993,KG407239@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Salzbergstraße 22,4830,Hallstatt,0676/87765921,KG407240@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Neukirchen 79,4814,Neukirchen/Altmünster,07618/21200-30,KG407242@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Neukirchen 79,4814,Neukirchen/Altmünster,07618/820613,KS407129@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Reindlmühl 7,4814,Altmünster Reindlmühl,07618-7235-14,KG407302@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Reindlmühl 7,4814,Altmünster Reindlmühl,07618/7235-13,KS407123@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Hauptstraße  31,4694,Ohlsdorf I,07612/47725,KG407244@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Wöhrerstraße 4,4694,Ohlsdorf II,07612/47028,KG407245@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Wöhrerstraße  6,4694,Ohlsdorf III,0676/846940121,KG407250@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Pfarrhofstraße 5a,4661,Roitham,07613/5320,KS407102@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Markt 199,5360,St. Wolfgang,06138/2553,KG407247@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Rußbach 14,5360,St. Wolfgang Rußbach,0676/4455950,KG407230@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Markt 199,5360,St. Wolfgang,06138/2553,KS407113@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kindergartenstraße 3,4801,Traunkirchen,07617/2318,KG407248@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Kindergartenstraße 3,4801,Traunkirchen,0664/1552530,KS407126@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Ziegeleistraße 21,4701,Bad Schallerbach,07249/48686,KG408221@pfarrcaritas-kita.at,Pfarrcaritas,Grieskirchen
krabbelstube,Pfarrcaritas Krabbelstube,Ziegeleistraße 21,4701,Bad Schallerbach,07249/48686,KS408108@pfarrcaritas-kita.at,Pfarrcaritas,Grieskirchen
kindergarten,Pfarrcaritas Kindergarten,Pfarrhofweg 5,4673,Gaspoltshofen,07735/6846,KG408222@pfarrcaritas-kita.at,Pfarrcaritas,Grieskirchen
krabbelstube,Pfarrcaritas Krabbelstube,Pfarrhofweg 5,4673,Gaspoltshofen,07735/6846,KS408110@pfarrcaritas-kita.at,Pfarrcaritas,Grieskirchen
kindergarten,Ordenskindergarten der Borromäerinnen,Roßmarkt 28,4710,Grieskirchen,07248/68191,office@vffb.or.at,VFFB,Grieskirchen
krabbelstube,Krabbelstube Verein f. Franziskanische Bildung,Wagnleithnerstraße 28,4710,Grieskirchen,07248/601-6376,office@vffb.or.at,VFFB,Grieskirchen
kindergarten,Pfarrcaritas Kindergarten,Schulstraße  1,4716,Hofkirchen/Trattnach,07734/2669,KG408225@pfarrcaritas-kita.at,Pfarrcaritas,Grieskirchen
krabbelstube,Pfarrcaritas Krabbelstube,Schulstraße 1,4716,Hofkirchen/Trattnach,07734/2669,KS408101@pfarrcaritas-kita.at,Pfarrcaritas,Grieskirchen
kindergarten,Pfarrcaritas Kindergarten,Anzenberger Straße  1,4633,Kematen/Innbach,07247/20293,KG408226@pfarrcaritas-kita.at,Pfarrcaritas,Grieskirchen
krabbelstube,Pfarrcaritas Krabbelstube,Kindergartenstr. 2,4633,Kematen/Innbach,07247/20293,KS408118@pfarrcaritas-kita.at,Pfarrcaritas,Grieskirchen
krabbelstube,Pfarrcaritas Krabbelstube,Pühretstraße 14,4724,Neukirchen/Walde,07278/3256,KS408122@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Pogbergstraße 5,4720,Neumarkt/Hrk.,07733/7390,KG408228@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Caritas Kindergarten,Nr. 22,4720,Pötting,07733/7285-19,kindergarten.poetting@caritas-ooe.at,Caritas,
hort,Pfarrcaritas Hort,Marktstr. 1,4742,Pram,0650/6234002,HO408603@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Hofmark 31,4742,Pram,0650/6201,KG408230@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Hofmark 31,4742,Pram,07736/6201,KS408113@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kuefsteinweg 2,4730,Waizenkirchen,07277/2404,KG408232@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Kuefsteinweg 2,4730,Waizenkirchen,07277/2404,KS408116@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kindergartenweg 3,4675,Weibern,07732/3442,KG408233@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Kindergartenweg 3,4675,Weibern,07732/3442,KS408114@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Schulstraße  6,4741,Wendling,07736/6158,KG408234@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Schulstraße 8,4741,Wendling,07736/6158,KS408127@pfarrcaritas-kita.at,Pfarrcaritas,
hort,Pfarrcaritas Hort,Schulstraße  7,4550,Kremsmünster,0676/8244-3141,HO409603@pfarrcaritas-kita.at,Pfarrcaritas,Kirchdorf
kindergarten,Pfarrcaritas Kindergarten,Guntendorf  32,4550,Kremsmünster Krühub,07583/6870,KG409221@pfarrcaritas-kita.at,Pfarrcaritas,Kirchdorf
kindergarten,Pfarrcaritas Kindergarten,Josef-Lederhilger-Straße 1,4550,Kremsmünster Kremsegg,07583/8402,KG409220@pfarrcaritas-kita.at,Pfarrcaritas,Kirchdorf
kindergarten,Pfarrcaritas Kindergarten,Burgfried 1,4550,Kremsmünster Stift,07583/7701,KG409219@pfarrcaritas-kita.at,Pfarrcaritas,Kirchdorf
kindergarten,Pfarrcaritas Kindergarten,Hofwiese 82,4550,Kremsmünster Hofwiese,07583/50475,KG409231@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Hofwiese 82,4550,Kremsmünster Hofwiese,0680/2074767,KS409109@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Franz-Hönigstraße 10,4550,Kremsmünster Markt,07583/7801,KS409116@pfarrcaritas-kita.at,Pfarrcaritas,
hort,Caritas Hort,Kirchdorferstr. 4,4643,Pettenbach,0676/8244-3141,hort.pettenbach@caritas-ooe.at,Caritas,
kindergarten,Pfarrcaritas Kindergarten,Kirchenplatz 17,4643,Pettenbach,07586/7373,KG409223@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Welserstr. 1,4643,Pettenbach,07586/60466,KG409244@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Welser Str.  1,4643,Pettenbach,07586/60466,KS409114@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Weinmeisterstraße 11,4582,Spital am Pyhrn,07563/7001,KG409224@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Weinmeisterstraße 11,4582,Spital am Pyhrn,07563/7001,KS409119@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Spießengraben 2,4562,Steinbach/Zbg.,0676/82444582,KG409226@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Schulstraße 23,4596,Steinbach/Steyr,07257/7073,KG409225@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kirchenplatz 5,4552,Wartberg/Krems,07587/7833,KG409227@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Kirchenplatz 3,4552,Wartberg/Krems,07587/7833-11,KS409107@pfarrcaritas-kita.at,Pfarrcaritas,
hort,Pfarrcaritas Hort,Gleinkerseestr. 15,4580,Windischgarsten,0664/4502321,HO409702@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Svetlinstraße 8,4580,Windischgarsten,07562/7561,KG409228@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Svetlinstraße 8,4580,Windischgarsten,07562/7561,KS409115@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Betriebskrabbelstube Krankenhaus BHS/BHB,Steingasse 4,4020,Linz,0732/7677-50034,kiga.steingasse@gmx.at,Kirchlich (sonst.),
kindergarten,Betriebskindergarten der RLB OÖ,Europaplatz 6,4020,Linz,0676/8776-5925,kita.rlb@gmx.at,Kirchlich (sonst.),
krabbelstube,Betriebskrabbelstube der RLB OÖ,Europaplatz 6,4020,Linz,0676/8776-5925,kita.rlb@gmx.at,Kirchlich (sonst.),
kindergarten,Caritas Kindergarten,Pillweinstraße 11,4020,Linz,0732/655976,kindergarten.linz.pillweinstrasse@caritas-ooe.at,Caritas,
hort,Ordenshort Schulverein der Kreuzschwestern,Stockhofstraße  30,4020,Linz,0732/664871/2316,kigalinz@eduhi.at,Kreuzschwestern,
hort,Hort Vereins f. Franziskanische Bildung,Wiener Straße 26,4020,Linz,0732/652256-26,office@vffb.or.at,VFFB,
kindergarten,Kindergarten Schulverein der Kreuzschwestern,Kroatengasse 9,4020,Linz,0732/664871-2316,kigalinz@eduhi.at,Kreuzschwestern,
kindergarten,Pfarrcaritas Kindergarten,Schubertstraße 5,4020,Linz Hl. Familie,0676/8776-5926,KG401268@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Wieningerstraße 14,4020,Linz Hlgst. Dreifaltigkeit,0732/374070,KG401275@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Falterweg 35,4030,Linz-Pichling St. Paul,0732/320724,KG401258@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Blütenstraße 15,4040,Linz Schwalbennest,0732/733368,KG401255@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Salzburgerstraße 22,4020,Linz St. Antonius,0732/346379,KG401267@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Neubauzeile 68,4030,Linz St. Franziskus,0732/325018,KG401263@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Händelstraße 30,4020,Linz St. Konrad,0732/652096,KG401259@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Landgutstraße  31a,4040,Linz St. Leopold,0732/736193,KG401261@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,St. Margarethen   47a,4020,Linz St. Margarethen,0676/8776-5901,KG401270@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Uhlandgasse 3,4020,Linz St. Michael,0732/343163,KG401274@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Wallenbergstraße 21,4020,Linz St. Peter,0732/330210,KG401273@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Losensteinerstraße 1,4020,Linz St. Theresia,0732/670111,KG401262@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Hölderlinstraße 24,4040,Linz Christkönig,0732/715735,KG401260@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Peuerbachstraße 14,4040,Linz Christkönig,0732/710494,KG401264@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Am Steinbühel 29,4030,Linz Guter Hirte,0732/381289,KG401253@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Schumpeterstraße 1,4040,Linz Hl. Geist,0676/8776-5912,KG401269@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Aubrunnerweg 11,4040,Linz St. Berthold,0676/8776-5905,KG401254@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Fadingerplatz 7,4030,Linz Ebelsberg,0732/307742,KG401271@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kirchengasse  2a,4481,Asten,07224/66357,KG410239@pfarrcaritas-kita.at,Pfarrcaritas,Linz Land
kindergarten,Pfarrcaritas Kindergarten,Edelmannstr. 4,4622,Eggendorf,07228/6147,KG410241@pfarrcaritas-kita.at,Pfarrcaritas,Linz Land
krabbelstube,Pfarrcaritas Krabbelstube,Edelmannstr. 4,4622,Eggendorf,07228/6147,KS410124@pfarrcaritas-kita.at,Pfarrcaritas,Linz Land
kindergarten,Pfarrcaritas Kindergarten,Lauriacumstraße 4,4470,Enns St. Laurenz,0676/8776-5071,KG410243@pfarrcaritas-kita.at,Pfarrcaritas,Linz Land
kindergarten,Pfarrcaritas Kindergarten,P.-Othmar-Sterr-Weg 1,4470,Enns St. Marien,0676/8776-6605,KG410242@pfarrcaritas-kita.at,Pfarrcaritas,Linz Land
hort,Caritas Hort,Weichstettenstraße 7,4492,Hofkirchen/Trkrs.,0676/8776-5913,hort.hofkirchen@caritas-ooe.at,Caritas,Linz Land
kindergarten,Pfarrcaritas Kindergarten,Dorfplatz 2,4492,Hofkirchen/Trkr.,07225/7272-34,KG410244@pfarrcaritas-kita.at,Pfarrcaritas,Linz Land
krabbelstube,Pfarrcaritas Krabbelstube,Dorfplatz 2,4492,Hofkirchen/Trk.,07225/727234,KS410118@pfarrcaritas-kita.at,Pfarrcaritas,Linz Land
kindergarten,Pfarrcaritas Kindergarten,Kindergartenstraße 1,4063,Hörsching,07221/72232,KG410245@pfarrcaritas-kita.at,Pfarrcaritas,Linz Land
kindergarten,Pfarrcaritas Kindergarten,Bruckstraße 6,4531,Kematen/Krems,0664-9277589,KG410246@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kindergartenstraße 6,4533,Kematen/Piberbach,07228/8286,KG410253@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Kindergartenstraße 6,4533,Kematen/Piberbach,07228/8286,KS410126@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Michaelsbergstraße 23,4060,Leonding St. Michael,0676/8776-5915,KG410248@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Brucknerstraße 10,4501,Neuhofen/Krems I Zum hl. Benedikt,07227/4590,KG410250@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kremsallee 7,4501,Neuhofen/Krems II,07227/5613,KG410251@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kirchengasse 2,4061,Langholzfeld,07229/64417,KG410252@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Hausfeld 22,4490,St. Florian/Linz II,0660/2624488,KG410254@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Wiener Straße 6,4490,St. Florian/Linz I,0660/2624472,KG410255@pfarrcaritas-kita.at,Pfarrcaritas,
hort,Pfarrcaritas Hort,Nr. 36,4502,St. Marien,07227/8159-50,HO410625@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Nr. 43,4502,St. Marien,07227/8044,KG410256@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Nr.  43,4502,St. Marien,07227/8044,KS410119@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kindergartenstraße 3,4502,St. Marien - Nöstlbach,07227/5436,KG410258@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Kindergartenstraße 3,4502,St. Marien - Nöstlbach,07227/5436,KS410112@pfarrcaritas-kita.at,Pfarrcaritas,
hort,Pfarrcaritas Hort,Weichstetten West 23,4502,Weichstetten,07227/8525-16,HO410630@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Weichstetten West 23,4502,Weichstetten,07227/8525-10,KG410257@pfarrcaritas-kita.at,Pfarrcaritas,
krabbelstube,Pfarrcaritas Krabbelstube,Weichstetten West 23,4502,Weichstetten,07227/8525-10,KS410122@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,W. Angerstr.  9,4050,Traun St. Dionysen,07229/75966,KG410259@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kindergartenweg 6,4073,Schönering St. Stefan,07226/2634,KG410262@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Pfarrhofweg 9,4073,Dörnbach,07221/87177,KG410261@pfarrcaritas-kita.at,Pfarrcaritas,
kindergarten,Pfarrcaritas Kindergarten,Kreuznerstraße 35,4360,Grein,07268/444,KG411220@pfarrcaritas-kita.at,Pfarrcaritas,Perg
krabbelstube,Pfarrcaritas Krabbelstube,Kreuznerstraße 35,4360,Grein,07268/444,KS411106@pfarrcaritas-kita.at,Pfarrcaritas,Perg
kindergarten,Pfarrcaritas Kindergarten,Höhenstraße 11,4223,Katsdorf,0699-11422340,KG411221@pfarrcaritas-kita.at,Pfarrcaritas,Perg
