art,name,weburl,contact_name,strasse,plz,ort,telefon,email,oeffnungszeiten,angebot_art_label,kosten,schliesstage,beschreibung,traeger
hort,Hort Kremsdorf,https://kinderfreunde.at/angebote/detail/hort-kremsdorf,,,,,Sabrina Hellmair Tel: 0699 / 16 88 62 37 E-Mail: hort.kremsdorf@kinderfreunde-ooe.at,hort.kremsdorf@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Sabrina Hellmair Tel: 0699 / 16 88 62 37 E-Mail: hort.kremsdorf@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort Langholzfeld,https://kinderfreunde.at/angebote/detail/hort-langholzfeld,,,,,Gottfried Zeiner Tel: 0664 / 311 79 93 E-Mail: hort.langholzfeld@kinderfreunde-ooe.at,hort.langholzfeld@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Gottfried Zeiner Tel: 0664 / 311 79 93 E-Mail: hort.langholzfeld@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort Lengau,https://kinderfreunde.at/angebote/detail/hort-lengau,,,,,Manuela Leimer Tel: 0699 / 16 88 61 47 E-Mail: hort.lengau@kinderfreunde-ooe.at,hort.lengau@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,"Kinder wollen nach der Schule spielen, Spaß und auch ihre Ruhe haben. Diese Bedürfnisse müssen erfüllt werden, damit dann die Kinder wieder genug Energie haben, um sich an ihre Hausübung zu machen und zu lernen. Der Hort ist also kein Ort der Nachhilfe, sondern ein Platz, an dem Schulkinder ihren Nachmittag sinnvoll verbringen können indem Zeiten des Spielens sich mit Zeiten des Lernens abwechseln.",Kinderfreunde
hort,Hort Mauerkirchen,https://kinderfreunde.at/angebote/detail/hort-mauerkirchen,,,,,Martina Linecker Tel: 0699 / 16 88 61 48 E-Mail: hort.mauerkirchen@kinderfreunde-ooe.at,hort.mauerkirchen@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Martina Linecker Tel: 0699 / 16 88 61 48 E-Mail: hort.mauerkirchen@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort Neumarkt,https://kinderfreunde.at/angebote/detail/hort-neumarkt,,,,,"Ursula Doughty, , BEd Tel: 0699 / 16 88 61 38 E-Mail: hort.neumarkt@kinderfreunde-ooe.at",hort.neumarkt@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,"Ursula Doughty, , BEd Tel: 0699 / 16 88 61 38 E-Mail: hort.neumarkt@kinderfreunde-ooe.at",Kinderfreunde
hort,Hort Oftering,https://kinderfreunde.at/angebote/detail/hort-oftering,,,,,"Alexander Auinger , Operative Leitung Tel: 0699 / 16 88 61 31 E-Mail: hort.oftering@kinderfreunde-ooe.at",hort.oftering@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,"Alexander Auinger , Operative Leitung Tel: 0699 / 16 88 61 31 E-Mail: hort.oftering@kinderfreunde-ooe.at",Kinderfreunde
hort,Hort Riedersbach,https://kinderfreunde.at/angebote/detail/hort-riedersbach,,,,,Nadine Forstenpointner Tel: 0699/16 88 6285 E-Mail: hort.riedersbach@kinderfreunde-ooe.at,hort.riedersbach@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Nadine Forstenpointner Tel: 0699/16 88 6285 E-Mail: hort.riedersbach@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort Schwertberg,https://kinderfreunde.at/angebote/detail/hort-schwertberg,,,,,Astrid Breiteneder-Pepöck Tel: 0699 / 16 88 61 36 E-Mail: hort.schwertberg@kinderfreunde-ooe.at,hort.schwertberg@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Astrid Breiteneder-Pepöck Tel: 0699 / 16 88 61 36 E-Mail: hort.schwertberg@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort Sierning,https://kinderfreunde.at/angebote/detail/hort-sierning,,Gruppen 1 & 2 : Neustraße 21,4522,Sierning,Dipl. Päd. Tanja Baumgartner Tel: 0699 / 16 88 61 26 E-Mail: hort.sierning@kinderfreunde-ooe.at,hort.sierning@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,Weihnachten: 2 Wochen geschlossen | Sommer: 3 Wochen geschlossen,Dipl. Päd. Tanja Baumgartner Tel: 0699 / 16 88 61 26 E-Mail: hort.sierning@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort St. Georgen/Gusen,https://kinderfreunde.at/angebote/detail/hort-st-georgen-gusen,,,,,Verena Aichinger Tel: 0699 / 16 88 61 17 E-Mail: hort.st.georgen@kinderfreunde-ooe.at,hort.st.georgen@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Verena Aichinger Tel: 0699 / 16 88 61 17 E-Mail: hort.st.georgen@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort St. Margarethen,https://kinderfreunde.at/angebote/detail/hort-st-margarethen,,,,,Gabriele Rößler Tel: 0699 16 88 62 39 E-Mail: hort.st.margarethen@kinderfreunde-ooe.at,hort.st.margarethen@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Gabriele Rößler Tel: 0699 16 88 62 39 E-Mail: hort.st.margarethen@kinderfreunde-ooe.at,Kinderfreunde
hort,Hort Unterweitersdorf,https://kinderfreunde.at/angebote/detail/hort-unterweitersdorf,,,,,"Evelyne Gusenbauer, MSc Tel: 0699 / 16 88 61 40 E-Mail: hort.unterweitersdorf@kinderfreunde-ooe.at",hort.unterweitersdorf@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,"Evelyne Gusenbauer, MSc Tel: 0699 / 16 88 61 40 E-Mail: hort.unterweitersdorf@kinderfreunde-ooe.at",Kinderfreunde
hort,Hort Wartberg,https://kinderfreunde.at/angebote/detail/hort-wartberg,,,,,Hanna Häusler Tel: 0699 / 16 88 61 20 E-Mail: hort.wartberg@kinderfreunde-ooe.at,hort.wartberg@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,"Kinder wollen nach der Schule spielen, Spaß und auch ihre Ruhe haben. Diese Bedürfnisse müssen erfüllt werden, damit dann die Kinder wieder genug Energie haben, um sich an ihre Hausübung zu machen und zu lernen. Der Hort ist also kein Ort der Nachhilfe, sondern ein Platz, an dem Schulkinder ihren Nachmittag sinnvoll verbringen können indem Zeiten des Spielens sich mit Zeiten des Lernens abwechseln.",Kinderfreunde
hort,Hort Wilhering,https://kinderfreunde.at/angebote/detail/hort-wilhering,,,,,Nicola Nitterl Tel: 0699 / 16 88 61 63 E-Mail: hort.wilhering@kinderfreunde-ooe.at,hort.wilhering@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Nicola Nitterl Tel: 0699 / 16 88 61 63 E-Mail: hort.wilhering@kinderfreunde-ooe.at,Kinderfreunde
hort,Linz - Hort Ziegeleistraße,https://kinderfreunde.at/angebote/detail/linz-hort-ziegeleistrasse,,,,,Maria Trauner Tel: 0732 / 772632 -41 E-Mail: hort.ziegeleistrasse@kinderfreunde-linz.at,hort.ziegeleistrasse@kinderfreunde-linz.at,,,Kosten Die Tarife sind sozial gestaffelt und werden aufgrund von Gehaltsnachweisen der Eltern berechnet. Über Details informieren wir gerne telefonisch oder im persönlichen Gespräch.,,Maria Trauner Tel: 0732 / 772632 -41 E-Mail: hort.ziegeleistrasse@kinderfreunde-linz.at,Kinderfreunde
kindergarten,Kindergarten Eferding,https://kinderfreunde.at/angebote/detail/kindergarten-eferding,,,,,Martina Aichinger Tel: 0699 / 16 88 62 50 E-Mail: kindergarten.eferding@kinderfreunde-ooe.at,kindergarten.eferding@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Martina Aichinger Tel: 0699 / 16 88 62 50 E-Mail: kindergarten.eferding@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Kindergarten Langholzfeld,https://kinderfreunde.at/angebote/detail/kindergarten-langholzfeld,,,,,Bettina Kral Tel: 07229 / 669 58 E-Mail: kindergarten.langholzfeld@kinderfreunde-ooe.at,kindergarten.langholzfeld@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Bettina Kral Tel: 07229 / 669 58 E-Mail: kindergarten.langholzfeld@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Kindergarten Mauthausen,https://kinderfreunde.at/angebote/detail/kindergarten-mauthausen,,,,,Karina Hahn Tel: 0664 / 855 80 12 E-Mail: kindergarten.mauthausen@kinderfreunde-ooe.at,kindergarten.mauthausen@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Karina Hahn Tel: 0664 / 855 80 12 E-Mail: kindergarten.mauthausen@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Kindergarten Neuhofen,https://kinderfreunde.at/angebote/detail/kindergarten-neuhofen,,,,,Tanja Zeller Tel: 0699 / 16 886 176 E-Mail: kindergarten.neuhofen-krems@kinderfreunde-ooe.at,kindergarten.neuhofen-krems@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Tanja Zeller Tel: 0699 / 16 886 176 E-Mail: kindergarten.neuhofen-krems@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Kindergarten Obertraun,https://kinderfreunde.at/angebote/detail/kindergarten-obertraun,,,,,Margit Präsoll Tel: 0699 / 16 88 61 71 E-Mail: kindergarten.obertraun@kinderfreunde-ooe.at,kindergarten.obertraun@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Margit Präsoll Tel: 0699 / 16 88 61 71 E-Mail: kindergarten.obertraun@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Kindergarten Pasching,https://kinderfreunde.at/angebote/detail/kindergarten-pasching,,,,,Elke Daucha Tel: 07221 / 885 15 31 E-Mail: kindergarten.pasching@kinderfreunde-ooe.at,kindergarten.pasching@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Elke Daucha Tel: 07221 / 885 15 31 E-Mail: kindergarten.pasching@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Kindergarten Plus City,https://kinderfreunde.at/angebote/detail/kindergarten-plus-city,,,,,Sabine Bruckmüller Tel: 0699 / 16 88 61 78 E-Mail: kindergarten.pluscity@kinderfreunde-ooe.at,kindergarten.pluscity@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Sabine Bruckmüller Tel: 0699 / 16 88 61 78 E-Mail: kindergarten.pluscity@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Kindergarten Schwertberg,https://kinderfreunde.at/angebote/detail/kindergarten-schwertberg,,,,,Alexandra Kaiser Tel: 0699 / 16 88 61 70 E-Mail: kindergarten.schwertberg@kinderfreunde-ooe.at,kindergarten.schwertberg@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Alexandra Kaiser Tel: 0699 / 16 88 61 70 E-Mail: kindergarten.schwertberg@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Kinderzentrum Pasching,https://kinderfreunde.at/angebote/detail/kinderzentrum-pasching,,,,,Nina Schaschko Tel: 0699 / 16 88 62 25 E-Mail: kinderzentrum.pasching@kinderfreunde-ooe.at,kinderzentrum.pasching@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Nina Schaschko Tel: 0699 / 16 88 62 25 E-Mail: kinderzentrum.pasching@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Krabbelstube und Kindergarten Langholzfeld,https://kinderfreunde.at/angebote/detail/krabbelstube-und-kindergarten-langholzfeld,,,,,Bettina Kral Tel: 07 229 / 669 58 E-Mail: kindergarten.langholzfeld@kinderfreunde.cc,kindergarten.langholzfeld@kinderfreunde.cc,,,Kosten: auf Anfrage,,Bettina Kral Tel: 07 229 / 669 58 E-Mail: kindergarten.langholzfeld@kinderfreunde.cc,Kinderfreunde
kindergarten,Krabbelstube und Kindergarten Plus City,https://kinderfreunde.at/angebote/detail/krabbelstube-und-kindergarten-plus-city,,,,,Sabine Bruckmüller Tel: 0699 / 168 86 178 E-Mail: kindergarten.pluscity@kinderfreunde-ooe.at,kindergarten.pluscity@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Sabine Bruckmüller Tel: 0699 / 168 86 178 E-Mail: kindergarten.pluscity@kinderfreunde-ooe.at,Kinderfreunde
kindergarten,Linz - Kindergarten Edisonstraße,https://kinderfreunde.at/angebote/detail/linz-kindergarten-edisonstrasse,,,,,Michaela Weiss Tel: 0732 / 772632 -21 E-Mail: kiga.edisonstrasse@kinderfreunde-linz.at,kiga.edisonstrasse@kinderfreunde-linz.at,,,,,Michaela Weiss Tel: 0732 / 772632 -21 E-Mail: kiga.edisonstrasse@kinderfreunde-linz.at,Kinderfreunde
kindergarten,Linz - Kindergarten Einfaltstraße,https://kinderfreunde.at/angebote/detail/linz-kindergarten-einfaltstrasse,,,,,Ulrike Stross Tel: 0732 / 772632 -31 E-Mail: kiga.einfaltstrasse@kinderfreunde-linz.at,kiga.einfaltstrasse@kinderfreunde-linz.at,,,"Kosten Der Vormittagsbesuch des Kindergartens ist beitragsfrei. Ab 13.00 Uhr wird ein Nachmittagstarif mit dem Höchstbeitrag von Euro 54,91 pro Monat verrechnet. Der Beitrag ist sozial gestaffelt und wird nach der Höhe des Bruttohaushaltseinkommen berechnet.",,Ulrike Stross Tel: 0732 / 772632 -31 E-Mail: kiga.einfaltstrasse@kinderfreunde-linz.at,Kinderfreunde
kindergarten,Linz - Kindergarten Ing. Stern-Straße,https://kinderfreunde.at/angebote/detail/linz-kindergarten-ing-stern-strasse,,,,,Melanie Haider Tel: 0732 / 772632 -51 E-Mail: kiga.franckviertel@kinderfreunde-linz.at,kiga.franckviertel@kinderfreunde-linz.at,,,"Kosten Der Kindergartenbesuch ist seit 1.September 2009 beitragsfrei, für die Nachmittagsbetreuung fallen auf Basis einer Verordnung des Landes Oberösterreich Nachmittagsgebühren an. Für das Mittagessen gibt es soziale Staffelungen, dass Essen wird vom Heimbauverein geliefert und ist hausgemacht, frisch und regional.",,Melanie Haider Tel: 0732 / 772632 -51 E-Mail: kiga.franckviertel@kinderfreunde-linz.at,Kinderfreunde
kindergarten,Linz - Kindergarten Zaunmüllerstraße,https://kinderfreunde.at/angebote/detail/linz-kindergarten-zaunmullerstrasse,,,,,Melanie Schön Tel: 0732 / 772632 -61 E-Mail: kiga.zaunmuellerstrasse@kinderfreunde-linz.at,kiga.zaunmuellerstrasse@kinderfreunde-linz.at,,,"Kosten Der Kindergartenbesuch ist seit 1.September 2009 beitragsfrei, für die Nachmittagsbetreuung fallen auf Basis einer Verordnung des Landes Oberösterreich Nachmittagsgebühren an. Für das Mittagessen gibt es soziale Staffelungen, dass Essen wird vom Heimbauverein geliefert und ist hausgemacht, frisch und regional.",,Melanie Schön Tel: 0732 / 772632 -61 E-Mail: kiga.zaunmuellerstrasse@kinderfreunde-linz.at,Kinderfreunde
kindergarten,Naturkindergarten St.Georgen/Gusen,https://kinderfreunde.at/angebote/detail/naturkindergarten-st-georgen-gusen,,,,,Heidi Leimer Tel: 07237 / 2465 - 40 E-Mail: info@naturkindergarten.at,info@naturkindergarten.at,,,Kosten: auf Anfrage,,"Der junge Mensch braucht seinesgleichen - nämlich Wasser, Dreck, Gebüsch und Spielraum.",Kinderfreunde
kindergarten,Steyr - Kindergarten Ennsleite,https://kinderfreunde.at/angebote/detail/kindergarten-ennsleite,,,,,Martina Baumgartner Tel: 0699 / 16 886 588 E-Mail: kindergarten.ennsleite@kinderfreunde.at,kindergarten.ennsleite@kinderfreunde.at,,,"In unserer Kinderbildungs- und betreuungseinrichtung wird täglich eine selbst zubereitete gesunde Jause angeboten, der Beitrag dafür wird monatlich eingehoben.",,Martina Baumgartner Tel: 0699 / 16 886 588 E-Mail: kindergarten.ennsleite@kinderfreunde.at,Kinderfreunde
krabbelstube,Betriebskrabbelstube Forensisch-Therapeutisches Zentrum Asten,https://kinderfreunde.at/angebote/detail/betriebskrabbelstube-forensisch-therapeutisches-zentrum-asten,,,,,Agnes Kapplmüller Tel: +43 699/16 886 358 E-Mail: krabbelstube.asten-ftz@kinderfreunde-ooe.at,krabbelstube.asten-ftz@kinderfreunde-ooe.at,,,,,Agnes Kapplmüller Tel: +43 699/16 886 358 E-Mail: krabbelstube.asten-ftz@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Kinderzentrum Pasching,https://kinderfreunde.at/angebote/detail/kinderzentrum-pasching,,,,,Nina Schaschko Tel: 0699 / 16 88 62 25 E-Mail: kinderzentrum.pasching@kinderfreunde-ooe.at,kinderzentrum.pasching@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Nina Schaschko Tel: 0699 / 16 88 62 25 E-Mail: kinderzentrum.pasching@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Asten,https://kinderfreunde.at/angebote/detail/krabbelstube-asten,,,,,Petra Mayr Tel: 0699 / 16 88 62 15 E-Mail: krabbelstube.asten@kinderfreunde-ooe.at,krabbelstube.asten@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Petra Mayr Tel: 0699 / 16 88 62 15 E-Mail: krabbelstube.asten@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Attnang-Puchheim,https://kinderfreunde.at/angebote/detail/krabbelstube-attnang-puchheim,,,,,Jacqueline Schwarz Tel: 0699 / 16 88 62 18 E-Mail: krabbelstube.attnang-puchheim@kinderfreunde-ooe.at,krabbelstube.attnang-puchheim@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Jacqueline Schwarz Tel: 0699 / 16 88 62 18 E-Mail: krabbelstube.attnang-puchheim@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Braunau,https://kinderfreunde.at/angebote/detail/krabbelstube-braunau,,,,,Karin Albustin Tel: 0699 / 16 88 61 96 E-Mail: krabbelstube.braunau@kinderfreunde-ooe.at,krabbelstube.braunau@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Karin Albustin Tel: 0699 / 16 88 61 96 E-Mail: krabbelstube.braunau@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Braunau Expositur Neustadt,https://kinderfreunde.at/angebote/detail/krabbelstube-braunau-expositur-neustadt,,,,,Carina Groß Tel: 07722 / 207 92-2 E-Mail: krabbelstube.braunau-neustadt@kinderfreunde-ooe.at,krabbelstube.braunau-neustadt@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Carina Groß Tel: 07722 / 207 92-2 E-Mail: krabbelstube.braunau-neustadt@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Eferding,https://kinderfreunde.at/angebote/detail/krabbelstube-eferding,,,,,Cornelia Wagner Tel: 0699 / 16 88 61 92 E-Mail: krabbelstube.eferding@kinderfreunde-ooe.at,krabbelstube.eferding@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Cornelia Wagner Tel: 0699 / 16 88 61 92 E-Mail: krabbelstube.eferding@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Gallneukirchen,https://kinderfreunde.at/angebote/detail/krabbelstube-gallneukirchen,,,,,Astrid Ganglberger Tel: 0699 / 16 88 61 81 E-Mail: krabbelstube.gallneukirchen@kinderfreunde-ooe.at,krabbelstube.gallneukirchen@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Astrid Ganglberger Tel: 0699 / 16 88 61 81 E-Mail: krabbelstube.gallneukirchen@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Haid,https://kinderfreunde.at/angebote/detail/krabbelstube-haid,,,,,Irina Wahlmüller Tel: 07229 / 80349 E-Mail: krabbelstube.haid@kinderfreunde-ooe.at,krabbelstube.haid@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Irina Wahlmüller Tel: 07229 / 80349 E-Mail: krabbelstube.haid@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Haid - Expositur Ansfelden,https://kinderfreunde.at/angebote/detail/krabbelstube-haid-expositur-ansfelden,,,,,Irina Wahlmüller Tel: 07229 / 80349 E-Mail: krabbelstube.haid@kinderfreunde.cc,krabbelstube.haid@kinderfreunde.cc,,,Kosten: auf Anfrage,,"Kinder brauchen Kinder, und berufstätige Eltern brauchen eine qualitativ hochwertige Betreuung für ihre Kinder! Krabbelstuben sind ein guter Weg, diesen Bedarf abzudecken.",Kinderfreunde
krabbelstube,Krabbelstube Haid - Haidpark,https://kinderfreunde.at/angebote/detail/krabbelstube-haid-haidpark,,,,,Irina Wahlmüller Tel: 07229 / 80349 E-Mail: krabbelstube.haid2@kinderfreunde-ooe.at,krabbelstube.haid2@kinderfreunde-ooe.at,,,"Kosten: Kosten richten sich nach der Anwesenheitszeit unter 30/über 30 Stunden bzw. nach Tagen 2,3 oder 5-Tagestarif und nach Höhe des Bruttohaushaltseinkommen.",,Irina Wahlmüller Tel: 07229 / 80349 E-Mail: krabbelstube.haid2@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Haslach,https://kinderfreunde.at/angebote/detail/krabbelstube-haslach,,,,,Anna Hinterhölzl Tel: 0699 / 16 88 61 45 E-Mail: krabbelstube.haslach@kinderfreunde-ooe.at,krabbelstube.haslach@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Anna Hinterhölzl Tel: 0699 / 16 88 61 45 E-Mail: krabbelstube.haslach@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Langholzfeld,https://kinderfreunde.at/angebote/detail/krabbelstube-langholzfeld,,,,,Bettina Kral Tel: 0664 / 825 32 09 E-Mail: krabbelstube.langholzfeld@kinderfreunde-ooe.at,krabbelstube.langholzfeld@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Bettina Kral Tel: 0664 / 825 32 09 E-Mail: krabbelstube.langholzfeld@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Lengau,https://kinderfreunde.at/angebote/detail/krabbelstube-lengau,,,,,Lisa Muhr Tel: 0699 / 16 88 61 93 E-Mail: krabbelstube.lengau@kinderfreunde-ooe.at,krabbelstube.lengau@kinderfreunde-ooe.at,,,Kosten: auf Anfrage,,Lisa Muhr Tel: 0699 / 16 88 61 93 E-Mail: krabbelstube.lengau@kinderfreunde-ooe.at,Kinderfreunde
krabbelstube,Krabbelstube Lengau II,https://kinderfreunde.at/angebote/detail/krabbelstube-lengau-ii,,,,,Lisa Muhr Tel: 0699 / 16 88 61 93 E-Mail: krabbelstube.lengau2@kinderfreunde-ooe-at,,,,Kosten: auf Anfrage,,Lisa Muhr Tel: 0699 / 16 88 61 93 E-Mail: krabbelstube.lengau2@kinderfreunde-ooe-at,Kinderfreunde
